업종,상호,시설주소(도로명),시설전화번호
당구장업,에스피당구클럽,"서울특별시 송파구 토성로 26 (풍납동, 강진빌딩)",
당구장업,귀빈당구장,서울특별시 송파구 백제고분로34길 13 (석촌동),422-0041
당구장업,따봉당구장,"서울특별시 송파구 오금로31길 17 (방이동, 남영빌딩)",412-2704
당구장업,은하,"서울특별시 송파구 백제고분로40길 31 (석촌동, 신세계빌딩)",
당구장업,스포츠당구장,"서울특별시 송파구 송이로17길 40 (가락동, 영흥빌딩)",
당구장업,스마일당구장,"서울특별시 송파구 마천로 79, 2층 (오금동)",
당구장업,홍당구장,"서울특별시 송파구 백제고분로 498 (방이동, 스카이에듀학원)",413-7192
당구장업,황금볼당구장,서울특별시 송파구 문정로4길 34 (문정동),3401-6257
당구장업,큐당구장,서울특별시 송파구 백제고분로48길 22 (방이동),415-0778
당구장업,예준당구클럽,"서울특별시 송파구 오금로11길 11 (방이동, 천일빌딩)",415-9268
당구장업,코끼리당구장,"서울특별시 송파구 석촌호수로12길 1-6, 지하1층 (잠실동)",2202-8344
당구장업,현 당구장,"서울특별시 송파구 가락로 248 (방이동, 화성빌딩)",415-6154
당구장업,에이스,"서울특별시 송파구 성내천로 300, 지하1층 (마천동)",443-1726
당구장업,영화당구클럽,서울특별시 송파구 양재대로72길 8 (오금동),431-3994
당구장업,SBS당구장,"서울특별시 송파구 양재대로62길 22, 지하1층 (가락동)",
당구장업,황제 당구장,"서울특별시 송파구 마천로51길 2 (마천동, 수정빌딩)",
당구장업,둘리당구장,서울특별시 송파구 동남로6길 39 (문정동),978-5502
당구장업,마스타 당구클럽,"서울특별시 송파구 마천로 197, 2층 (오금동)",400-9938
당구장업,ONE 당구장,서울특별시 송파구 백제고분로9길 30 (잠실동),416-0029
당구장업,씨티당구장,"서울특별시 송파구 백제고분로7길 52, 2층 (잠실동)",414-2009
당구장업,Win 당구클럽,"서울특별시 송파구 백제고분로41길 6-7 (송파동, 홍우빌딩)",415-7753
당구장업,대박 당구장,서울특별시 송파구 송이로 102 (가락동),02-448-7713
당구장업,나이스당구장,"서울특별시 송파구 올림픽로32길 29 (방이동, 유성빌딩)",
당구장업,허슬러당구클럽,"서울특별시 송파구 백제고분로32길 6 (삼전동, 수배빌딩)",421-8843
당구장업,스포츠당구장,"서울특별시 송파구 양재대로71길 14 (방이동, 우민빌딩)",424-4424
당구장업,보글당구장,"서울특별시 송파구 올림픽로32길 9 (방이동, 방은빌딩)",
당구장업,DS캐롬클럽,"서울특별시 송파구 백제고분로 163 (잠실동, 명성빌딩)",422-6449
당구장업,먹자골목 놀이터 당구장,"서울특별시 송파구 올림픽로32길 20, 3층 (방이동)",3432-3949
당구장업,매니아당구클럽,"서울특별시 송파구 올림픽로32길 53 (방이동, 경우빌딩)",414-9508
당구장업,월드당구장,"서울특별시 송파구 백제고분로7길 39, 3층 (잠실동)",417-0714
당구장업,월드컵 당구장,"서울특별시 송파구 백제고분로17길 56, 3층 (잠실동)",
당구장업,킹당구장,"서울특별시 송파구 거마로 12, 지하1층 (거여동)",403-0988
당구장업,계림당구클럽,"서울특별시 송파구 올림픽로10길 58, 지하1층 (잠실동)",418-1613
당구장업,JJ당구클럽,"서울특별시 송파구 백제고분로 382, 지하1층 (송파동)",
당구장업,씨티당구장,"서울특별시 송파구 마천로 240 (마천동, 석일빌딩)",
당구장업,매직당구장,"서울특별시 송파구 백제고분로48길 44 (방이동, 동보빌딩)",416-0519
당구장업,스마일 당구장,"서울특별시 송파구 백제고분로41길 40, 부영빌딩 지하1층 (송파동)",
당구장업,코리아 당구클럽,"서울특별시 송파구 송파대로49길 59, 지하1층 (석촌동)",412-2711
당구장업,OK당구장,"서울특별시 송파구 오금로46길 25, 4층 (가락동)",
당구장업,뱅뱅당구장,"서울특별시 송파구 중대로9길 32 (가락동, 상원빌딩)",431-3949
당구장업,황실당구클럽,서울특별시 송파구 백제고분로22길 3 (삼전동),413-4984
당구장업,히트당구클럽,서울특별시 송파구 백제고분로40길 37 (석촌동),
당구장업,느티나무당구장,서울특별시 송파구 동남로6길 6 (문정동),400-9954
당구장업,즐겨찾기,"서울특별시 송파구 백제고분로7길 43, 3층 (잠실동)",420-3900
당구장업,럭셔리 당구클럽,"서울특별시 송파구 송이로17길 61, 2층 (가락동)",02-408-6449
당구장업,큐볼당구장,"서울특별시 송파구 오금로11길 11-8, 6층 (방이동)",2202-3949
당구장업,맨하탄당구클럽,"서울특별시 송파구 송파대로30길 11 (가락동, 이연파레스)",430-3949
당구장업,챔프3000,서울특별시 송파구 오금로46길 16 (가락동),02-3012-3043
당구장업,필름당구장,"서울특별시 송파구 백제고분로51길 23 (방이동, 에쿠스모델)",3432-4674
당구장업,캣츠당구장,"서울특별시 송파구 거마로3길 4 (거여동, 뉴비전빌딩)",404-3949
당구장업,히든큐당구클럽,"서울특별시 송파구 백제고분로7길 14 (잠실동, 태원빌딩)",418-8965
당구장업,K-1당구클럽,"서울특별시 송파구 중대로 60-9 (문정동, 정원농산)",400-2473
당구장업,비케이당구클럽,"서울특별시 송파구 중대로9길 48 (가락동, MOXENHOUSE)",
당구장업,딴 당구클럽,"서울특별시 송파구 백제고분로 198 (삼전동, 정민빌딩)",
당구장업,7전8큐 당구장,"서울특별시 송파구 백제고분로46길 12, 전원빌딩 (송파동)",
당구장업,반딧불 당구장,서울특별시 송파구 송파대로22길 21 (문정동),
당구장업,C&G 당구클럽,"서울특별시 송파구 올림픽로30길 5 (방이동, 정윤빌딩)",
당구장업,서프로 당구클럽,"서울특별시 송파구 오금로 504 (거여동, 하나빌딩)",
당구장업,황제당구클럽,"서울특별시 송파구 가락로 70, 3층 (석촌동)",
당구장업,놀이터 당구클럽,서울특별시 송파구 가락로 157 (송파동),
당구장업,빌앤 당구클럽,"서울특별시 송파구 위례성대로18길 27, 지하층 (방이동)",
당구장업,현대 당구장,"서울특별시 송파구 마천로51길 32-1, 2층 (마천동)",
당구장업,로 얄,"서울특별시 송파구 삼학사로19길 28 (삼전동, 캔쇼빌딩)",
당구장업,캐롬4U,"서울특별시 송파구 중대로 304 (오금동, 천진빌딩)",
당구장업,라이프당구장,서울특별시 송파구 성내천로 229 (마천동),
당구장업,K-2당구클럽,"서울특별시 송파구 백제고분로25길 33, 2층 (삼전동)",
당구장업,당구마을,"서울특별시 송파구 백제고분로 202, 지하1층 (삼전동)",
당구장업,거북당구장,서울특별시 송파구 천호대로152길 17 (풍납동),
당구장업,스타당구클럽,서울특별시 송파구 동남로 145 (가락동),
당구장업,명당구장,"서울특별시 송파구 백제고분로18길 31, 지하1층 (잠실동)",
당구장업,장수당구장,"서울특별시 송파구 새말로 141, 2층 (문정동)",
당구장업,스포츠당구장,"서울특별시 송파구 가락로 84, 지층 (석촌동)",
당구장업,준당구장,"서울특별시 송파구 백제고분로41길 11, 지하1층 (송파동)",
당구장업,시그마당구장,"서울특별시 송파구 올림픽로 289, 지하1층 B111~3호 (신천동, 잠실시그마타워)",
당구장업,당구일번지,"서울특별시 송파구 송파대로30길 25, 2층 (가락동)",
당구장업,Billiards Club Han's,서울특별시 송파구 동남로4길 11 (문정동),
당구장업,티파니당구장,"서울특별시 송파구 송파대로30길 8, 2층 203호 (가락동, 훼밀리오피스텔)",
당구장업,땡큐당구장,서울특별시 송파구 양재대로71길 12 (방이동),
당구장업,에이스당구장,서울특별시 송파구 백제고분로7길 29 (잠실동),
당구장업,청목당구장,서울특별시 송파구 백제고분로19길 28 (잠실동),
당구장업,에스피당구클럽,서울특별시 송파구 중대로 97 (가락동),408-3949
당구장업,SBS당구클럽,서울특별시 송파구 백제고분로7길 57 (잠실동),070-8830-6036
당구장업,유명당구장,서울특별시 송파구 마천로41길 33 (마천동),1036608686
당구장업,하이런당구장,"서울특별시 송파구 거마로 49 (거여동, 초림빌딩)",430-5080
당구장업,당구타임클럽,서울특별시 송파구 백제고분로7길 24 (잠실동),
당구장업,엘케이투2 빌리어드,"서울특별시 송파구 거마로2길 3-4, 2층 (거여동)",
당구장업,오색당구장,"서울특별시 송파구 거마로 71 (마천동, 원천빌딩)",
당구장업,L.A당구클럽,"서울특별시 송파구 마천로 351, 3층 (마천동, 사자빌딩)",
당구장업,VIP당구장,"서울특별시 송파구 올림픽로32길 18, 3층 (방이동, 경진빌딩)",02-3431-0909
당구장업,당구존,"서울특별시 송파구 백제고분로7길 27, 4층 (잠실동, 반석빌딩)",
당구장업,시카고포켓볼,"서울특별시 송파구 올림픽로32길 23, 지층 (방이동)",
당구장업,정읍 당구장,"서울특별시 송파구 마천로41길 15, 3층 (마천동)",02-403-5079
당구장업,큐52당구장,"서울특별시 송파구 법원로11길 7, 지하2층 B211,B212호 (문정동, 문정현대지식산업센터1-2)",02-3012-0909
당구장업,히트빌리어드클럽,"서울특별시 송파구 송이로36길 68, 2층 (문정동, 신안빌딩)",
당구장업,만나당구클럽,"서울특별시 송파구 중대로9길 53, 3층 (가락동, 영남빌딩)",
당구장업,IT당구클럽,"서울특별시 송파구 중대로 135, 지하1층 비125,126호 (가락동, 아이티벤처타워)",
당구장업,스팅당구클럽,"서울특별시 송파구 석촌호수로 84, 지하층 (잠실동, 내네빌딩)",
당구장업,시그마당구장3,"서울특별시 송파구 올림픽로 289, 지하1층 비101-3호 (신천동, 잠실시그마타워)",02-421-9290
당구장업,다섬당구장,"서울특별시 송파구 마천로 지하 130-8 (오금동, 경신빌딩)",02-443-3949
당구장업,월드당구장,"서울특별시 송파구 가락로 269, 지하1층 (방이동, 소망빌딩)",
당구장업,우주당구,서울특별시 송파구 백제고분로42길 16 (송파동),
당구장업,삼손당구장,서울특별시 송파구 백제고분로 262 (삼전동),
당구장업,문당구클럽,서울특별시 송파구 오금로57길 3-4 (거여동),
당구장업,프로당구장,서울특별시 송파구 백제고분로27길 5 (삼전동),
당구장업,히트 당구장,"서울특별시 송파구 중대로9길 26, 2층 (가락동)",
당구장업,스핀볼링센터 가든5,"서울특별시 송파구 충민로 52, 가든파이브웍스 지하1층 BF1025~1028호 (문정동)",02-2047-3664
당구장업,당구시간,서울특별시 송파구 백제고분로46길 20 (송파동),
당구장업,성내천당구장,"서울특별시 송파구 성내천로 134, 지하1층 (거여동)",
당구장업,챔프당구클럽,"서울특별시 송파구 백제고분로48길 6, 2층 (방이동)",
당구장업,송파당구장,"서울특별시 송파구 오금로44길 3, 익산빌딩 (가락동)",02-431-0713
당구장업,송파가브리엘당구클럽,"서울특별시 송파구 송파대로 438, 지하2층 (송파동)",02-422-5877
당구장업,당기자 당구장,"서울특별시 송파구 법원로 92, 파트너스1 지1층 102호 (문정동)",
당구장업,JJ당구장,"서울특별시 송파구 송이로20길 8, 성공카랜드 (가락동)",
당구장업,엠스테이트 당구장,"서울특별시 송파구 법원로 114, 엠스테이트 E동 B214호 (문정동)",1033665344
당구장업,알파고 당구장,"서울특별시 송파구 오금로46길 3, 보람빌딩 (가락동)",
당구장업,CH 당구장,서울특별시 송파구 백제고분로21길 24 (삼전동),
당구장업,엘케이 빌리어드,"서울특별시 송파구 거마로 14, 청송빌딩 2층 (거여동)",400-3940
당구장업,캐슬 당구클럽,"서울특별시 송파구 거마로20길 18, 지하층 (마천동)",
당구장업,로데오 당구장,"서울특별시 송파구 송파대로22길 5, 2층 (문정동)",
당구장업,브라보캐롬클럽 석촌점,"서울특별시 송파구 가락로 99, 석촌프라자 6층 1호 (석촌동)",
당구장업,당구마루,"서울특별시 송파구 양재대로62길 47, 가락빌딩 지하층 2호 (가락동)",
당구장업,스타 당구장,"서울특별시 송파구 마천로 138, 3층 (오금동)",
당구장업,프로 빌리어드 2000 당구장,"서울특별시 송파구 위례성대로18길 28, 2층 5호 (방이동)",
썰매장업,한강시민공원 잠실지구 눈썰매장,,420-2564
무도학원업,강남 댄스스포츠,"서울특별시 송파구 올림픽로 80 (잠실동, 영원빌딩)",420-3363
빙상장업,롯데월드아이스링크장,서울특별시 송파구 올림픽로 240 (잠실동),411-4592
종합체육시설업,서울YMCA송파지회,"서울특별시 송파구 올림픽로 211 (잠실동, 서울Y.M.C.A송파지회)",
종합체육시설업,서울곰두리체육센타,서울특별시 송파구 동남로 271 (오금동),404-6240
종합체육시설업,시그마스포츠클럽,"서울특별시 송파구 올림픽로 289 (신천동, 잠실시그마타워)",234346169
종합체육시설업,올림픽수영장,"서울특별시 송파구 올림픽로 424 (방이동, 올림픽공원)",02-410-1617
종합체육시설업,(주)나눔체육시설,"서울특별시 송파구 송이로34길 62 (문정동, 문정고등학교)",400-8700
종합체육시설업,시그니엘서울 피트니스클럽,서울특별시 송파구 올림픽로 300 (신천동),
종합체육시설업,(주)헬스보이짐가락프리미엄,"서울특별시 송파구 송파대로 260, 제일오피스텔 지하층 (가락동)",02-430-9864
종합체육시설업,소피텔 앰배서더 서울 호텔 앤 서비스드 레지던스,"서울특별시 송파구 잠실로 209, KT송파타워 (신천동)",02-2092-6000
가상체험 체육시설업,뉴서울골프스쿨,"서울특별시 송파구 성내천로 209, 지하1층 (마천동)",449-8479
가상체험 체육시설업,프로탑골프센터,"서울특별시 송파구 위례성대로12길 18, 지하1층 (방이동)",419-0085
가상체험 체육시설업,골프프린스,"서울특별시 송파구 백제고분로 385, 임진각빌딩 지하1층 (송파동)",
가상체험 체육시설업,골프존 송파,서울특별시 송파구 마천로 13 (방이동),417-0709
가상체험 체육시설업,잠실스크린골프2호점,"서울특별시 송파구 백제고분로7길 8-12, 지하1층 (잠실동)",412-7781
가상체험 체육시설업,골프존파크 가락지앤지,"서울특별시 송파구 중대로12길 6, 지하1층 (가락동)",
가상체험 체육시설업,투엑스골프앤휘트니스,"서울특별시 송파구 올림픽로 119, 지하2층 B201호 (잠실동, 잠실파인애플상가)",02-417-9811
가상체험 체육시설업,주식회사 이룸골프,"서울특별시 송파구 석촌호수로 156, 지하층 (삼전동, 삼전동썬프라자)",02-422-8807
가상체험 체육시설업,GDR아카데미 송파 법조타운점,"서울특별시 송파구 법원로 128, 문정에스케이브이원지엘메트로시티 지하1층 씨지105호~씨지109호 (문정동)",
가상체험 체육시설업,GDR아카데미 송파 법조타운 2호점,"서울특별시 송파구 법원로11길 7, 문정현대지식산업센터1-2 지하2층 (문정동)",02-404-5566
가상체험 체육시설업,골프존 GDR 아카데미 송파가락점,"서울특별시 송파구 송파대로28길 13, 거북이빌딩 지하2층 (가락동)",24030211
가상체험 체육시설업,큐이디 골프아카데미 문정점,"서울특별시 송파구 법원로4길 6, 문정아이파크 지하1층 101, 116호 (문정동)",
가상체험 체육시설업,스트라이크존 잠실구장,"서울특별시 송파구 백제고분로7길 14, 태원빌딩 지하1층 (잠실동)",
가상체험 체육시설업,스트라이크존 신천구장,"서울특별시 송파구 백제고분로9길 53, 지하1층 (잠실동)",
가상체험 체육시설업,기어스골프 동작분석 평가센터,"서울특별시 송파구 백제고분로37길 4, 지하1층 (석촌동)",
가상체험 체육시설업,스트라이크존 방이점,"서울특별시 송파구 오금로11길 11-8, 현대드림밸리 3층 301호~305호 (방이동)",
가상체험 체육시설업,스트라이크존 가락시장역구장,"서울특별시 송파구 양재대로62길 48, 남양빌딩 3층 301호,303호 (가락동)",
가상체험 체육시설업,진골프연습장,"서울특별시 송파구 거마로 12, 상형빌딩 4층 (거여동)",
가상체험 체육시설업,파로스 비젼 골프존,"서울특별시 송파구 도곡로64길 7-1, 파로스타워 지하1층 101, 102호 (잠실동)",
가상체험 체육시설업,에이원골프,"서울특별시 송파구 동남로29길 8-10, 퍼스트 스퀘어 3층 (오금동)",
가상체험 체육시설업,더 스윙,"서울특별시 송파구 송파대로49길 52, 석촌호수 나인파크 A a동 지하 1층 101호 (석촌동)",02-423-0223
가상체험 체육시설업,유디알 멤버스 더퍼스트 잠실,"서울특별시 송파구 올림픽로35가길 9, 잠실 푸르지오 월드마크 지하 1층 46~50호 (신천동, 잠실 푸르지오 월드마크)",
가상체험 체육시설업,골프존파크 가락 헬리오시티,"서울특별시 송파구 송파대로 345, 1A동 4015, 4021~3호 (가락동, 헬리오시티)",
가상체험 체육시설업,프렌즈스크린 문정법조타운,"서울특별시 송파구 법원로 114, 엠스테이트 E동 B206~209호 (문정동)",02-2283-1250
가상체험 체육시설업,(주)타이거홀딩스 더스윙블랙,"서울특별시 송파구 위례광장로 188, 아이온스퀘어 4층 (장지동)",02-401-0223
가상체험 체육시설업,와이즈 골프,"서울특별시 송파구 법원로11길 12, 한양타워 지하1층 (문정동)",
가상체험 체육시설업,BS 골프존,"서울특별시 송파구 마천로41길 22, 남양빌딩 지하1층 2호 (마천동)",02-430-7819
가상체험 체육시설업,차차플레이스 잠실점,"서울특별시 송파구 석촌호수로18길 8-14, 지층01호 (석촌동)",
가상체험 체육시설업,에이치비파크,"서울특별시 송파구 동남로20길 32, 지하1층 (가락동)",02-404-0046
가상체험 체육시설업,레인지엑스 잠실,"서울특별시 송파구 백제고분로 128, H타워 지하2층 (잠실동)",
가상체험 체육시설업,SW GOLF,"서울특별시 송파구 올림픽로35길 94, 지층 5-1호 (신천동, 장미3차맨션)",02-422-7454
가상체험 체육시설업,프리모 골프 스튜디오,"서울특별시 송파구 법원로 128, 문정에스케이브이원지엘메트로시티 제지하1층 BG 107호 108호 (문정동)",
가상체험 체육시설업,투빛골골프연습장,"서울특별시 송파구 석촌호수로 188, 비동 207호 (석촌동, 신동아로쟌뷰)",
가상체험 체육시설업,더블원골프 잠실점,"서울특별시 송파구 올림픽로8길 20, 잠실아이파크 B 101,102호 (잠실동)",02-421-1872
가상체험 체육시설업,프렌즈 골프아카데미,"서울특별시 송파구 동남로 238, 4층 (가락동)",070-7585-5295
가상체험 체육시설업,더존VSE골프연습장,"서울특별시 송파구 마천로 83, 제이에스빌딩 지하1층 (오금동)",02-6952-9110
가상체험 체육시설업,마이골프스튜디오,"서울특별시 송파구 올림픽로35길 10, 비동 213호 (신천동, 파크리오)",
체육교습업,점핑위즈 줄넘기 클럽,"서울특별시 송파구 위례광장로 199, 성희프라자 3층 306호 (장지동)",02-401-6126
체육교습업,오바른짐,"서울특별시 송파구 백제고분로 270, 지하1층 (삼전동)",02-415-5857
체육교습업,태승 축구아카데미,"서울특별시 송파구 오금로 457, 인창빌딩 지하1층 (거여동)",
체육교습업,송파스포츠클럽,"서울특별시 송파구 삼학사로 25-1, 지하1층 (삼전동)",
체육교습업,원스포츠아카데미,"서울특별시 송파구 오금로35길 17, B동 지하층 30호 (오금동, 현대아파트)",02-401-2510
체육교습업,송파탑스포츠,"서울특별시 송파구 백제고분로40길 36, 3층 (석촌동)",02-415-8805
체육교습업,누리다 움직임 연구소,"서울특별시 송파구 거마로 14, 청송빌딩 5층 (거여동)",02-418-1218
체육교습업,와이엔제이 스포츠 아카데미,"서울특별시 송파구 송파대로36가길 24, 현암빌딩 지하1층층 (송파동)",02-3401-0479
체육교습업,한국파워점핑줄넘기클럽 잠실점,"서울특별시 송파구 올림픽로 98, 성진빌딩 지하2층 (잠실동)",02-420-2530
